"ID","Latitude","Longitude","HAE","Max PDOP","Max HDOP","Corr Type","GPS Date","GPS Time","GPS Height","Vert Prec","Horz Prec","Std Dev","Latitude","Longitude"
1,48.160584040,-122.152741457,19.477,2.0,1.2,"Postprocessed Carrier Float","2013/09/10","20:26:57.000",19.477,0.1,0.1,,"48.160584040","-122.152741457"
2,48.160584327,-122.152741231,19.476,2.0,1.2,"Postprocessed Carrier Float","2013/09/10","20:26:58.000",19.476,0.1,0.1,,"48.160584327","-122.152741231"
3,48.160583789,-122.152741321,19.541,2.0,1.2,"Postprocessed Carrier Float","2013/09/10","20:26:59.000",19.541,0.1,0.1,,"48.160583789","-122.152741321"
4,48.160584104,-122.152741288,19.468,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:00.000",19.468,0.1,0.1,,"48.160584104","-122.152741288"
5,48.160584135,-122.152741222,19.532,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:01.000",19.532,0.1,0.1,,"48.160584135","-122.152741222"
6,48.160584039,-122.152741434,19.555,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:02.000",19.555,0.1,0.1,,"48.160584039","-122.152741434"
7,48.160584248,-122.152741567,19.549,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:03.000",19.549,0.1,0.1,,"48.160584248","-122.152741567"
8,48.160584097,-122.152741534,19.453,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:04.000",19.453,0.1,0.1,,"48.160584097","-122.152741534"
9,48.160584191,-122.152741558,19.485,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:05.000",19.485,0.1,0.1,,"48.160584191","-122.152741558"
10,48.160584147,-122.152741510,19.493,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:06.000",19.493,0.1,0.1,,"48.160584147","-122.152741510"
11,48.160584254,-122.152741595,19.527,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:07.000",19.527,0.1,0.1,,"48.160584254","-122.152741595"
12,48.160584290,-122.152742271,19.525,1.7,1.1,"Postprocessed Carrier Float","2013/09/10","20:27:08.000",19.525,0.1,0.1,,"48.160584290","-122.152742271"
